year,exports_percent_gdp,fdi_percent_gdp,gdp_growth,inflation_cpi,labor_force,unemployment,new_cases,new_deaths,total_cases,total_deaths,new_cases_smoothed,new_deaths_smoothed,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_tests,positive_rate,stringency_index,population,gdp_per_capita,life_expectancy,cases_per_capita,deaths_per_capita,fatality_rate,vaccination_rate,full_vaccination_rate,covid_intensity_index,covid_policy_shock
1985,0.0,-0.0005675897261254,3.80585566810947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,6.62253929883139,0.0001518797996661,2.78929157479443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,6.0014283728223,0.0282712448214878,3.5834696313072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,3.94529822568093,0.030207899995773,5.13501167157808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,23.8493577901968,0.0646719015911437,7.36451289395819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,36.0386136391372,2.78132276010011,5.10091813908369,0.0,31496153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,30.9150393380004,3.90279682064747,5.96084393218912,0.0,32320532.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,34.7455958184055,4.80334781572863,8.64604745934572,0.0,33115526.0,2.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,28.7227826669423,7.02759252660212,8.07273065739605,0.0,33938919.0,2.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,34.0131286444039,11.9394828586715,8.83898095245374,0.0,34771003.0,1.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
