year,exports_percent_gdp,fdi_percent_gdp,gdp_growth,inflation_cpi,labor_force,unemployment
2000,53.9214970089166,4.16392407955693,6.78731640463151,-1.71033727851109,38790735,2.26
2001,55.0619332820827,3.97733545270572,6.19289331233377,-0.43154451172818,40511879,2.76
2002,54.7391336880928,3.99268705133996,6.32082099160833,3.83082838168467,41102232,2.12
2003,56.6732579147533,3.66601229989583,6.89906349055258,3.23464817293927,41746162,2.25
2004,59.7310414143857,3.54408107288199,7.53641060890386,7.75494748709601,42508994,2.14
2005,63.6994926701393,3.39040363930871,7.54724772895918,8.28457243128677,43513617,2.078
2006,67.7168143260187,3.61600090432522,6.97795481056711,7.41801715108463,44781401,2.046
2007,70.517874602272,8.65471771434805,7.12950448605439,8.34444889773837,46296491,2.026
2008,70.3366919402715,9.6630390545572,5.66177120891362,23.1154483474477,47894666,1.889
2009,62.6088840664865,7.16881988884276,5.39789754014181,6.71698269988629,49267257,1.737
2010,54.1758459668515,5.4347392933443,6.42324482239482,9.20746648778413,50303014,1.114
2011,61.1801557211956,4.30487434902161,6.41316889681683,18.6777322770707,51197726,0.999
2012,63.4739249038633,4.27832287681174,5.5045447041189,9.09470339557192,51916391,1.027
2013,66.8004459919109,4.16454517277325,5.55351081026072,6.59267475899192,53209344,1.316
2014,69.5985759502054,3.94086189051961,6.42224312118567,4.08455446637617,53885546,1.256
2015,72.9228518369495,4.93190773329022,6.98715430598611,0.631200905175754,54628714,1.848
2016,74.1072862556183,4.90089302916746,6.69000892660424,2.66824816969082,54888312,1.848
2017,81.7625218355655,5.01148721749681,6.94019037359206,3.52025688811617,55533898,1.874
2018,84.4234560833365,4.99828319622328,7.46500685572751,3.53962805942641,56235855,1.161
2019,85.1575874073411,4.821074861051,7.35926270105006,2.7958236745225,56180127,1.681
2020,84.381598008957,4.55836196782424,2.86541320912272,3.22093436652514,55149609,2.103
2021,93.8502071275575,4.27314566190187,2.55372852648131,1.83471554810444,55299911,2.383
2022,93.420129043511,4.32947308910883,8.53750046755788,3.15650749963129,56475416,1.57
2023,86.4674192371297,4.26407109843686,5.06502391455075,3.25289282667662,56381956,1.645
2024,90.1542210476659,4.23394171325231,7.09118746633975,3.62109273885843,56703936,1.602
2025,,,,,57041323,1.523
