year,exports_percent_gdp,fdi_percent_gdp,gdp_growth,inflation_cpi,labor_force,unemployment
2000,53.92149701,4.16392408,6.787316405,-1.710337279,38790735,2.26
2001,55.06193328,3.977335453,6.192893312,-0.431544512,40511879,2.76
2002,54.73913369,3.992687051,6.320820992,3.830828382,41102232,2.12
2003,56.67325791,3.6660123,6.899063491,3.234648173,41746162,2.25
2004,59.73104141,3.544081073,7.536410609,7.754947487,42508994,2.14
2005,63.69949267,3.390403639,7.547247729,8.284572431,43513617,2.078
2006,67.71681433,3.616000904,6.977954811,7.418017151,44781401,2.046
2007,70.5178746,8.654717714,7.129504486,8.344448898,46296491,2.026
2008,70.33669194,9.663039055,5.661771209,23.11544835,47894666,1.889
2009,62.60888407,7.168819889,5.39789754,6.7169827,49267257,1.737
2010,54.17584597,5.434739293,6.423244822,9.207466488,50303014,1.114
2011,61.18015572,4.304874349,6.413168897,18.67773228,51197726,0.999
2012,63.4739249,4.278322877,5.504544704,9.094703396,51916391,1.027
2013,66.80044599,4.164545173,5.55351081,6.592674759,53209344,1.316
2014,69.59857595,3.940861891,6.422243121,4.084554466,53885546,1.256
2015,72.92285184,4.931907733,6.987154306,0.631200905,54628714,1.848
2016,74.10728626,4.900893029,6.690008927,2.66824817,54888312,1.848
2017,81.76252184,5.011487217,6.940190374,3.520256888,55533898,1.874
2018,84.42345608,4.998283196,7.465006856,3.539628059,56235855,1.161
2019,85.15758741,4.821074861,7.359262701,2.795823675,56180127,1.681
2020,84.38159801,4.558361968,2.865413209,3.220934367,55149609,2.103
2021,93.85020713,4.273145662,2.553728526,1.834715548,55299911,2.383
2022,93.42012904,4.329473089,8.537500468,3.1565075,56475416,1.57
2023,86.46741924,4.264071098,5.065023915,3.252892827,56381956,1.645
2024,90.15422105,4.233941713,7.091187466,3.621092739,56703936,1.602
2025,,,,,57041323,1.523
