year,inflation_cpi
2000,-1.71033727851109
2001,-0.43154451172818
2002,3.83082838168467
2003,3.23464817293927
2004,7.75494748709601
2005,8.28457243128677
2006,7.41801715108463
2007,8.34444889773837
2008,23.1154483474477
2009,6.71698269988629
2010,9.20746648778413
2011,18.6777322770707
2012,9.09470339557192
2013,6.59267475899192
2014,4.08455446637617
2015,0.631200905175754
2016,2.66824816969082
2017,3.52025688811617
2018,3.53962805942641
2019,2.7958236745225
2020,3.22093436652514
2021,1.83471554810444
2022,3.15650749963129
2023,3.25289282667662
2024,3.62109273885843
2025,
